siren,name,lat,lng,cp,ville,ca,marge,CODE_IRIS,NOM_IRIS,NOM_COM,INSEE_COM,DISP_MED21,PCT_PROP,PCT_T1_T2,P22_NPER_RP,P22_RP
308240308,PRIBA SARL,48.8647655,2.3655038,75005,PARIS,97282,6.9,751031002,Enfants Rouges 2,Paris 3e Arrondissement,75103,37440.0,42.6,53.4,1902.18604473819,1080.69797627388
308331313,TOP'PRESS 92,48.876754,2.291518,92130,ISSY-LES-MOULINEAUX,152542,,751176501,Ternes 1,Paris 17e Arrondissement,75117,40300.0,36.5,51.8,3494.95161308368,1969.81090430973
327058855,PRESSING QUATRE VINGT ONZE,48.8539971,2.3368126,75006,PARIS,352117,18.5,751062402,Saint-Germain des Prés 2,Paris 6e Arrondissement,75106,39360.0,35.6,55.5,2659.15330190388,1633.90865603716
331928713,SOC SERVICES DU MONT,48.84503760000001,2.3495497,75005,PARIS,32478,7.2,751051703,Saint-Victor 3,Paris 5e Arrondissement,75105,34440.0,29.8,59.5,2394.60377661445,1408.40100953462
341279065,HA LAVAGE,48.9146953,2.2573556,92700,COLOMBES,100070,26.0,920250108,Les Vallées,Colombes,92025,38170.0,57.4,33.3,2460.27777813398,1073.2326423521
343234142,NETEXIAL,48.833801,2.2376082,92100,Boulogne-Billancourt,294647619,,920120205,Mail Maréchal Juin 3,Boulogne-Billancourt,92012,34650.0,29.2,52.7,2867.82758261532,1495.86786288529
353562838,JCPF,48.85495419999999,2.3582497,75004,PARIS,47211,,751041401,Saint-Gervais 1,Paris 4e Arrondissement,75104,24750.0,20.2,56.9,2831.69484852914,1617.40396044613
383474947,DELROCHE,48.8577303,2.2761088,75016,PARIS,93282,8.5,751166211,Muette 11,Paris 16e Arrondissement,75116,48120.0,40.6,37.4,2308.6627007082,1202.74378062511
383613072,A.L.P.A,48.91630920000002,2.22701,92700,COLOMBES,33002,4.7,920250403,Jeanne Gleuzer-Gros Grès,Colombes,92025,20960.0,28.8,28.7,4518.12300095832,1796.61889883577
384589628,ORGANIS,48.82698360000001,2.3670803,75013,PARIS,86745,29.6,751135010,Gare 10,Paris 13e Arrondissement,75113,27620.0,19.5,55.8,2069.482870559,1143.98469034305
391394707,VOLTAIRE LAVERIE,48.8631854,2.3706237,75011,PARIS,36119,14.8,751114209,Saint-Ambroise 9,Paris 11e Arrondissement,75111,32970.0,41.6,61.3,2560.15229425645,1456.99411759259
408270320,LAVERIE D'AUTEUIL,48.8483185,2.2624193,75016,PARIS,81527,15.6,751166120,Auteuil 20,Paris 16e Arrondissement,75116,48390.0,45.7,28.6,1886.66260346127,917.036600232519
408418093,POINT LAVERIE SERVICE,48.88224240000001,2.34702,75009,PARIS,34017,-22.0,751093610,Rochechouart 10,Paris 9e Arrondissement,75109,34930.0,40.8,55.6,2425.24052728678,1293.90908546615
414759100,CLISSON LAVA,48.8315784,2.3665371,75013,PARIS,127279,8.8,751135023,Gare 23,Paris 13e Arrondissement,75113,27790.0,25.4,38.1,1910.85228888688,966.494994723848
415190214,SOKLEEN,48.8724711,2.3799499,75020,PARIS,58374,14.8,751207709,Belleville 9,Paris 20e Arrondissement,75120,16730.0,27.1,73.4,1403.9967260783,784.164591252228
418915872,SARL CMP,48.9096844,2.3068726,92110,CLICHY,28140,9.8,920240304,Berges de Seine-Beaujon,Clichy,92024,20590.0,23.1,51.2,4660.53499890787,2176.21101355125
423478882,RIQUET PRESSING,48.8900103,2.3613481,75018,PARIS,109548,,751187203,Chapelle 3,Paris 18e Arrondissement,75118,25090.0,50.8,59.1,2062.49501142689,1071.99760036853
441498581,J & H SERVICES,48.8799952,2.3200066,75008,PARIS,72003,43.2,751083205,Europe 5,Paris 8e Arrondissement,75108,51570.0,42.8,33.2,2999.35625116961,1347.51542379917
444720593,FINANCIERE MENILMONTANT,48.8678586,2.3860445,75020,PARIS,101817,-2.7,751207706,Belleville 6,Paris 20e Arrondissement,75120,25850.0,39.6,70.5,2050.06525222841,1232.35615924273
503455172,MANON PRESSING,48.886104,2.3143003,94200,IVRY-SUR-SEINE,91040,20.6,751176711,Batignolles 11,Paris 17e Arrondissement,75117,35580.0,32.9,61.6,2075.38503072018,1261.07176722452
504568346,LOCLA,48.8622949,2.3399892,93400,SAINT-OUEN-SUR-SEINE,79316,15.9,751010203,Les Halles 3,Paris 1er Arrondissement,75101,32760.0,33.1,58.2,2366.58523233127,1472.63854412261
514335546,SARL B.S,48.7836251,2.2441105,92140,CLAMART,39242,-2.2,920230503,Petit Clamart 3,Clamart,92023,17880.0,4.8,45.0,2235.1207271015,1026.56148504311
519414205,MULTI-SERVICE-LAVERIE,48.9152214,2.2287092,92700,COLOMBES,110277,24.5,920250403,Jeanne Gleuzer-Gros Grès,Colombes,92025,20960.0,28.8,28.7,4518.12300095832,1796.61889883577
521841130,LAVE-NET,48.787015,2.3212995,91300,MASSY,96360,26.4,920140105,Mirebeau,Bourg-la-Reine,92014,33360.0,59.5,19.4,3154.75108438949,1274.61473610806
523556587,GREENPRESS,48.8623708,2.1963061,92500,RUEIL-MALMAISON,429353,-0.5,920630601,Fouilleuse 1,Rueil-Malmaison,92063,26680.0,56.5,21.7,2659.45420954625,1141.4764251447
523647410,SARL NAFICA,48.822564,2.3620523,75013,PARIS,44985,16.4,751135104,Maison Blanche 4,Paris 13e Arrondissement,75113,22770.0,24.6,78.9,2099.66913926693,1342.3078959506
523987410,CITE LAVERIE,48.88766720000001,2.3801006,93300,AUBERVILLIERS,108900,20.0,751197304,Villette 4,Paris 19e Arrondissement,75119,25490.0,35.0,52.5,2169.13131302741,1126.79621945868
530327063,VDLJ,48.8318339,2.3176358,75014,PARIS,75687,17.6,751145616,Plaisance 16,Paris 14e Arrondissement,75114,27330.0,23.3,64.1,2821.54455635109,1606.65944611224
532562717,FAST-LAV,48.818247,2.2456707,94250,GENTILLY,124185,6.6,920480203,Bas Meudon 1,Meudon,92048,30480.0,32.8,33.0,4775.02526940223,2131.00845456525
582033270,O NET PRESSING,48.8809349,2.3735401,75019,PARIS,85073,2.5,751197611,Combat 11,Paris 19e Arrondissement,75119,29090.0,29.7,43.8,2965.32832536244,1376.12594717725
789142874,SEKMET,48.8952484,2.2784971,92300,LEVALLOIS-PERRET,44101,5.8,920440123,Île de la Jatte-Square Baudin,Levallois-Perret,92044,36600.0,13.3,46.8,2804.59505520755,1373.83677744495
792403438,T.J.S,48.8305787,2.3342034,75014,PARIS,87980,16.9,751145515,Petit Montrouge 15,Paris 14e Arrondissement,75114,33770.0,31.8,57.5,2750.03837604998,1573.44092080167
803883990,HBJJ,48.8630065,2.2042716,92150,SURESNES,56611,26.6,920730110,Cité Jardins 2,Suresnes,92073,,0.0,29.7,2165.94113492092,1011.19427870164
819827049,XU,48.8765049,2.3922673,75019,PARIS,76505,-6.5,751197506,Amérique 6,Paris 19e Arrondissement,75119,30210.0,41.8,63.1,1923.88066277474,1095.91903396718
838400786,VOLTAIRE RETOUCHES PRESSING,48.8613658,2.3738124,75011,PARIS,93109,3.6,751114206,Saint-Ambroise 6,Paris 11e Arrondissement,75111,33260.0,38.5,56.3,2865.94659742184,1703.31774243913
838759389,CSR,48.8352734,2.2308747,92100,BOULOGNE-BILLANCOURT,46241,31.4,920120206,Mail Maréchal Juin 2,Boulogne-Billancourt,92012,35850.0,55.2,42.9,3166.05660438902,1639.41452183551
839264587,G.F.J. CLEAN,48.9021668,2.2673831,92400,COURBEVOIE,67254,24.9,920260202,Villebois-Mareuil,Courbevoie,92026,33940.0,44.5,39.8,2424.44043203452,1236.83132247267
841934227,AU PRESSING JIN,48.8317083,2.3717205,75013,PARIS,83003,-0.6,751135020,Gare 20,Paris 13e Arrondissement,75113,27370.0,11.6,54.9,3476.87064303866,1841.27964339168
844586909,LAV MJL,48.8862186,2.3187092,75017,PARIS,96892,38.1,751176706,Batignolles 6,Paris 17e Arrondissement,75117,40410.0,45.3,57.8,2040.41092369839,1263.89661157165
883135089,CONCEPT LAV'ECO,48.8301749,2.2515222,92100,BOULOGNE-BILLANCOURT,32100,15.9,920120405,République Point du Jour 2,Boulogne-Billancourt,92012,31730.0,40.7,55.2,2856.48752273789,1517.73546649497
913036976,LAVE'UB,48.8281786,2.3066396,91370,VERRIERES-LE-BUISSON,74179,-27.4,751145605,Plaisance 5,Paris 14e Arrondissement,75114,29260.0,42.5,37.6,2557.97817120711,1312.84533315221
953688272,PRESSING SOLEIL COURONNES,48.8692666,2.3808977,75020,PARIS,81577,2.6,751207708,Belleville 8,Paris 20e Arrondissement,75120,18760.0,22.6,53.4,2864.31605151742,1329.7982407083
