siren,name,enseigne,category,google_names,category_final
308240308,PRIBA SARL,,INDÉTERMINÉ,,INDÉTERMINÉ
308331313,TOP'PRESS 92,ROGER PRESSING,PRESSING,,PRESSING
327058855,PRESSING QUATRE VINGT ONZE,,PRESSING,,PRESSING
331928713,SOC SERVICES DU MONT,LE BATEAU LAVOIR,LAVERIE_LS,,LAVERIE_LS
341279065,HA LAVAGE,SALON LAVOIR GTI,LAVERIE_LS,,LAVERIE_LS
343234142,NETEXIAL,,INDÉTERMINÉ,,INDÉTERMINÉ
353562838,JCPF,J.C.P.F.,INDÉTERMINÉ,,INDÉTERMINÉ
383474947,DELROCHE,,INDÉTERMINÉ,,INDÉTERMINÉ
383613072,A.L.P.A,,INDÉTERMINÉ,,INDÉTERMINÉ
384589628,ORGANIS,,INDÉTERMINÉ,,INDÉTERMINÉ
391394707,VOLTAIRE LAVERIE,,LAVERIE_LS,,LAVERIE_LS
408270320,LAVERIE D'AUTEUIL,,LAVERIE_LS,,LAVERIE_LS
408418093,POINT LAVERIE SERVICE,,LAVERIE_LS,,LAVERIE_LS
414759100,CLISSON LAVA,,LAVERIE_LS,,LAVERIE_LS
415190214,SOKLEEN,SOKLEEN,INDÉTERMINÉ,,INDÉTERMINÉ
418915872,SARL CMP,,INDÉTERMINÉ,,INDÉTERMINÉ
423478882,RIQUET PRESSING,,PRESSING,,PRESSING
441498581,J & H SERVICES,,INDÉTERMINÉ,,INDÉTERMINÉ
444720593,FINANCIERE MENILMONTANT,,INDÉTERMINÉ,,INDÉTERMINÉ
503455172,MANON PRESSING,,PRESSING,,PRESSING
504568346,LOCLA,LOCLA,INDÉTERMINÉ,,INDÉTERMINÉ
514335546,SARL B.S,WASH N' DRY,LAVERIE_LS,,LAVERIE_LS
519414205,MULTI-SERVICE-LAVERIE,LAVERIE LIBRE SERVICE,LAVERIE_LS,,LAVERIE_LS
521841130,LAVE-NET,LAVE NET,LAVERIE_LS,,LAVERIE_LS
523556587,GREENPRESS,,PRESSING,,PRESSING
523647410,SARL NAFICA,,INDÉTERMINÉ,,INDÉTERMINÉ
523987410,CITE LAVERIE,LAVERIE LIBRE SERVICE,LAVERIE_LS,,LAVERIE_LS
530327063,VDLJ,,INDÉTERMINÉ,,INDÉTERMINÉ
532562717,FAST-LAV,,LAVERIE_LS,,LAVERIE_LS
582033270,O NET PRESSING,,PRESSING,,PRESSING
789142874,SEKMET,WASH'N DRY,LAVERIE_LS,,LAVERIE_LS
792403438,T.J.S,T.J.S.,INDÉTERMINÉ,,INDÉTERMINÉ
803883990,HBJJ,,INDÉTERMINÉ,,INDÉTERMINÉ
819827049,XU,,INDÉTERMINÉ,,INDÉTERMINÉ
838400786,VOLTAIRE RETOUCHES PRESSING,,PRESSING,,PRESSING
838759389,CSR,AU FIL DE L'EAU,INDÉTERMINÉ,,INDÉTERMINÉ
839264587,G.F.J. CLEAN,G.F.J. CLEAN,INDÉTERMINÉ,,INDÉTERMINÉ
841934227,AU PRESSING JIN,,PRESSING,,PRESSING
844586909,LAV MJL,,LAVERIE_LS,,LAVERIE_LS
883135089,CONCEPT LAV'ECO,,LAVERIE_LS,,LAVERIE_LS
913036976,LAVE'UB,,LAVERIE_LS,,LAVERIE_LS
953688272,PRESSING SOLEIL COURONNES,PRESSING SOLEIL,PRESSING,,PRESSING
